date,headlines,tickers_covered
2021-06-22,53,24
2021-06-23,82,28
2021-06-24,114,37
2021-06-25,90,29
2021-06-28,102,34
2021-06-29,80,33
2021-06-30,99,28
2021-07-01,92,32
2021-07-02,58,32
2021-07-06,83,32
2021-07-07,67,30
2021-07-08,94,33
2021-07-09,81,31
2021-07-12,99,33
2021-07-13,93,32
2021-07-14,88,32
2021-07-15,92,27
2021-07-16,102,31
2021-07-19,159,41
2021-07-20,79,32
2021-07-21,106,35
2021-07-22,117,36
2021-07-23,109,31
2021-07-26,119,30
2021-07-27,120,26
2021-07-28,92,28
2021-07-29,126,38
2021-07-30,80,25
2021-08-02,126,36
2021-08-03,109,28
2021-08-04,87,34
2021-08-05,104,34
2021-08-06,66,30
2021-08-09,103,35
2021-08-10,79,31
2021-08-11,71,30
2021-08-12,86,34
2021-08-13,82,28
2021-08-16,138,43
2021-08-17,92,33
2021-08-18,110,36
2021-08-19,86,26
2021-08-20,66,27
2021-08-23,120,39
2021-08-24,85,29
2021-08-25,71,27
2021-08-26,73,30
2021-08-27,97,30
2021-08-30,98,35
2021-08-31,88,32
2021-09-01,75,27
2021-09-02,103,32
2021-09-03,70,24
2021-09-07,143,41
2021-09-08,106,37
2021-09-09,120,35
2021-09-10,87,33
2021-09-13,147,42
2021-09-14,83,36
2021-09-15,108,35
2021-09-16,73,35
2021-09-17,78,33
2021-09-20,167,43
2021-09-21,92,32
2021-09-22,95,41
2021-09-23,89,36
2021-09-24,84,30
2021-09-27,154,42
2021-09-28,101,37
2021-09-29,68,28
2021-09-30,112,41
2021-10-01,88,29
2021-10-04,138,34
2021-10-05,97,37
2021-10-06,126,31
2021-10-07,78,33
2021-10-08,83,31
2021-10-11,134,44
2021-10-12,86,28
2021-10-13,105,36
2021-10-14,120,32
2021-10-15,94,33
2021-10-18,157,36
2021-10-19,96,36
2021-10-20,81,36
2021-10-21,146,40
2021-10-22,98,34
2021-10-25,119,36
2021-10-26,137,35
2021-10-27,113,35
2021-10-28,130,35
2021-10-29,140,33
2021-11-01,98,36
2021-11-02,134,37
2021-11-03,105,31
2021-11-04,134,38
2021-11-05,83,30
2021-11-08,147,41
2021-11-09,99,34
2021-11-10,110,30
2021-11-11,110,39
2021-11-12,59,28
2021-11-15,134,38
2021-11-16,119,31
2021-11-17,133,30
2021-11-18,122,36
2021-11-19,105,30
2021-11-22,133,38
2021-11-23,81,31
2021-11-24,68,30
2021-11-26,76,30
2021-11-29,122,36
2021-11-30,105,34
2021-12-01,86,36
2021-12-02,116,37
2021-12-03,93,30
2021-12-06,165,38
2021-12-07,129,36
2021-12-08,86,34
2021-12-09,103,36
2021-12-10,74,32
2021-12-13,140,40
2021-12-14,93,38
2021-12-15,106,37
2021-12-16,127,40
2021-12-17,110,36
2021-12-20,144,39
2021-12-21,112,34
2021-12-22,75,29
2021-12-23,111,38
2021-12-27,117,33
2021-12-28,101,32
2021-12-29,66,29
2021-12-30,101,37
2021-12-31,72,31
2022-01-03,137,38
2022-01-04,118,36
2022-01-05,124,34
2022-01-06,107,40
2022-01-07,113,35
2022-01-10,178,41
2022-01-11,102,36
2022-01-12,153,40
2022-01-13,167,40
2022-01-14,174,42
2022-01-18,324,47
2022-01-19,218,43
2022-01-20,182,45
2022-01-21,177,44
2022-01-24,222,47
2022-01-25,202,43
2022-01-26,230,41
2022-01-27,233,46
2022-01-28,210,43
2022-01-31,212,47
2022-02-01,236,41
2022-02-02,239,44
2022-02-03,150,43
2022-02-04,104,38
2022-02-07,188,43
2022-02-08,211,42
2022-02-09,139,41
2022-02-10,162,45
2022-02-11,133,42
2022-02-14,237,45
2022-02-15,158,41
2022-02-16,145,39
2022-02-17,200,47
2022-02-18,139,44
2022-02-22,204,43
2022-02-23,117,43
2022-02-24,130,38
2022-02-25,125,40
2022-02-28,187,39
2022-03-01,160,43
2022-03-02,146,36
2022-03-03,138,39
2022-03-04,140,42
2022-03-07,201,42
2022-03-08,141,38
2022-03-09,172,42
2022-03-10,176,46
2022-03-11,129,38
2022-03-14,160,43
2022-03-15,162,41
2022-03-16,149,35
2022-03-17,148,34
2022-03-18,110,41
2022-03-21,218,48
2022-03-22,134,37
2022-03-23,126,31
2022-03-24,168,37
2022-03-25,138,34
2022-03-28,186,39
2022-03-29,147,43
2022-03-30,102,36
2022-03-31,143,43
2022-04-01,139,35
2022-04-04,211,43
2022-04-05,150,44
2022-04-06,119,37
2022-04-07,131,40
2022-04-08,132,35
2022-04-11,216,40
2022-04-12,137,42
2022-04-13,148,38
2022-04-14,187,40
2022-04-18,149,41
2022-04-19,156,46
2022-04-20,132,39
2022-04-21,190,48
2022-04-22,148,44
2022-04-25,277,47
2022-04-26,212,45
2022-04-27,207,42
2022-04-28,211,44
2022-04-29,194,40
2022-05-02,166,42
2022-05-03,150,37
2022-05-04,143,38
2022-05-05,166,43
2022-05-06,150,42
2022-05-09,165,41
2022-05-10,141,42
2022-05-11,140,39
2022-05-12,164,42
2022-05-13,143,38
2022-05-16,206,40
2022-05-17,199,45
2022-05-18,148,41
2022-05-19,149,37
2022-05-20,153,42
2022-05-23,186,45
2022-05-24,118,39
2022-05-25,147,40
2022-05-26,162,43
2022-05-27,101,40
2022-05-31,160,43
2022-06-01,127,39
2022-06-02,120,42
2022-06-03,111,38
2022-06-06,153,42
2022-06-07,125,42
2022-06-08,117,34
2022-06-09,119,41
2022-06-10,129,42
2022-06-13,198,45
2022-06-14,140,44
2022-06-15,139,45
2022-06-16,134,45
2022-06-17,122,40
2022-06-21,217,43
2022-06-22,160,41
2022-06-23,181,45
2022-06-24,119,36
2022-06-27,225,44
2022-06-28,166,43
2022-06-29,156,39
2022-06-30,143,41
2022-07-01,112,40
2022-07-05,228,42
2022-07-06,126,44
2022-07-07,142,41
2022-07-08,96,38
2022-07-11,189,46
2022-07-12,140,38
2022-07-13,145,42
2022-07-14,180,41
2022-07-15,167,40
2022-07-18,237,43
2022-07-19,131,44
2022-07-20,164,46
2022-07-21,148,40
2022-07-22,144,44
2022-07-25,223,46
2022-07-26,203,40
2022-07-27,182,43
2022-07-28,208,42
2022-07-29,171,41
2022-08-01,180,41
2022-08-02,184,38
2022-08-03,169,41
2022-08-04,143,40
2022-08-05,95,35
2022-08-08,183,38
2022-08-09,131,36
2022-08-10,129,39
2022-08-11,143,38
2022-08-12,99,32
2022-08-15,193,42
2022-08-16,139,39
2022-08-17,114,36
2022-08-18,112,42
2022-08-19,103,36
2022-08-22,163,46
2022-08-23,102,40
2022-08-24,129,42
2022-08-25,125,39
2022-08-26,109,36
2022-08-29,152,42
2022-08-30,107,38
2022-08-31,124,42
2022-09-01,173,41
2022-09-02,117,35
2022-09-06,181,42
2022-09-07,137,42
2022-09-08,133,45
2022-09-09,103,41
2022-09-12,176,40
2022-09-13,122,40
2022-09-14,159,40
2022-09-15,157,44
2022-09-16,120,40
2022-09-19,172,42
2022-09-20,105,36
2022-09-21,106,41
2022-09-22,135,46
2022-09-23,118,40
2022-09-26,154,46
2022-09-27,113,36
2022-09-28,150,44
2022-09-29,138,34
2022-09-30,94,31
2022-10-03,155,40
2022-10-04,112,43
2022-10-05,123,40
2022-10-06,131,39
2022-10-07,163,42
2022-10-10,170,45
2022-10-11,112,35
2022-10-12,128,36
2022-10-13,114,39
2022-10-14,163,38
2022-10-17,153,44
2022-10-18,164,42
2022-10-19,140,42
2022-10-20,143,45
2022-10-21,138,40
2022-10-24,169,46
2022-10-25,169,43
2022-10-26,114,36
2022-10-27,197,44
2022-10-28,164,39
2022-10-31,153,41
2022-11-01,120,38
2022-11-02,134,39
2022-11-03,139,41
2022-11-04,105,36
2022-11-07,176,47
2022-11-08,141,39
2022-11-09,104,34
2022-11-10,109,41
2022-11-11,88,40
2022-11-14,188,45
2022-11-15,126,35
2022-11-16,135,38
2022-11-17,107,32
2022-11-18,80,32
2022-11-21,166,41
2022-11-22,106,34
2022-11-23,103,32
2022-11-25,108,38
2022-11-28,149,34
2022-11-29,112,35
2022-11-30,113,39
2022-12-01,118,46
2022-12-02,110,37
2022-12-05,143,38
2022-12-06,106,36
2022-12-07,119,36
2022-12-08,124,36
2022-12-09,117,41
2022-12-12,141,40
2022-12-13,132,38
2022-12-14,91,36
2022-12-15,140,39
2022-12-16,108,35
2022-12-19,160,43
2022-12-20,126,40
2022-12-21,138,38
2022-12-22,119,34
2022-12-23,71,27
2022-12-27,184,42
2022-12-28,89,33
2022-12-29,101,38
2022-12-30,94,34
2023-01-03,195,44
2023-01-04,137,37
2023-01-05,130,43
2023-01-06,101,34
2023-01-09,157,44
2023-01-10,116,38
2023-01-11,115,39
